dataset,positive,tau,min_samples,n_repeats,max_d,selection,method,budget,coverage,coverage_se,purity,splits_with_groups,purity_reaches_tau,net_coverage,net_coverage_se,stability,conditions_spent,train_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,fold0_groups,selection_seconds
titanic,survived,0.7,1,5,4,purity,rules_pure,8,0.8116,0.0234,0.6957,25,0.36,-0.0254,0.0948,0.926,7.76,0.8159,0.131,0.0182,-0.1519,0.0583,X_2=0 | X_6=4 | X_6=1 | X_3=0 & X_5=2 | X_6=3 | X_1=0 & X_5=2,0.032
titanic,survived,0.7,1,5,4,purity,rules_pure,16,0.8145,0.0205,0.6818,25,0.36,-0.0812,0.0993,0.909,15.52,0.8458,0.1391,0.0204,-0.2078,0.0613,X_2=0 | X_6=4 | X_6=1 | X_3=0 & X_5=2 | X_6=3 | X_1=0 & X_5=2 | X_1=0 & X_3=4 & X_4=0 | X_1=1 & X_3=0 | X_4=2 & X_6=0,0.032
titanic,survived,0.7,1,5,4,purity,rules_pure,32,0.8263,0.0203,0.6691,25,0.24,-0.1363,0.0999,0.908,29.24,0.868,0.1591,0.0264,-0.2876,0.0745,X_2=0 | X_6=4 | X_6=1 | X_3=0 & X_5=2 | X_6=3 | X_1=0 & X_5=2 | X_1=0 & X_3=4 & X_4=0 | X_1=1 & X_3=0 | X_4=2 & X_6=0 | X_3=0 & X_7=2 & X_8=2,0.032
titanic,survived,0.7,1,5,4,purity,rules_disjoint,1,0.6813,0.0246,0.7437,25,0.88,0.1284,0.0563,1.0,1.0,0.6813,0.0,0.0,0.0,0.0,X_2=0,0.031
titanic,survived,0.7,1,5,4,purity,rules_disjoint,2,0.6813,0.0246,0.7437,25,0.88,0.1284,0.0563,1.0,1.0,0.6813,0.0,0.0,0.0,0.0,X_2=0,0.031
titanic,survived,0.7,1,5,4,purity,rules_disjoint,4,0.7339,0.0223,0.7574,25,1.0,0.181,0.0603,1.0,3.0,0.7339,0.0532,0.0126,0.0545,0.0128,X_2=0 | X_3=0 & X_5=2,0.031
titanic,survived,0.7,1,5,4,purity,rules_disjoint,8,0.7397,0.0209,0.7447,25,0.88,0.143,0.0678,0.961,7.96,0.7591,0.059,0.0133,0.0166,0.0225,X_2=0 | X_3=0 & X_5=2 | X_2=1 & X_5=0 & X_6=4 | X_1=0 & X_3=0,0.031
titanic,survived,0.7,1,5,4,purity,rules_disjoint,16,0.7608,0.0211,0.7324,25,0.8,0.1082,0.0668,0.947,15.6,0.7876,0.0853,0.0171,-0.0184,0.0346,X_2=0 | X_3=0 & X_5=2 | X_2=1 & X_5=0 & X_6=4 | X_3=4 & X_4=0 & X_7=0 | X_2=1 & X_5=2 & X_6=1 & X_8=0 | X_2=1 & X_5=1 & X_6=1,0.031
titanic,survived,0.7,1,5,4,purity,rules_disjoint,32,0.7654,0.0213,0.7223,25,0.72,0.0748,0.0676,0.935,30.96,0.8118,0.0982,0.0226,-0.0765,0.0428,X_2=0 | X_3=0 & X_5=2 | X_2=1 & X_5=0 & X_6=4 | X_3=4 & X_4=0 & X_7=0 | X_2=1 & X_5=2 & X_6=1 & X_8=0 | X_2=1 & X_5=1 & X_6=1 | X_4=2 & X_6=0 | X_4=3 & X_6=2 | X_1=1 & X_3=0 & X_5=1 | X_2=1 & X_4=4 & X_6=3 | X_1=1 & X_2=1 & X_6=3 & X_8=2,0.031
titanic,survived,0.7,1,5,4,purity,tree,1,0.4683,0.1943,0.6998,16,0.375,-0.016,0.0806,0.418,0.64,0.4689,-0.213,0.1903,-0.1444,0.0581,,0.028
titanic,survived,0.7,1,5,4,purity,tree,2,0.6506,0.0649,0.7612,25,0.6,0.1024,0.1257,0.738,1.36,0.6575,-0.0306,0.0608,-0.0259,0.0971,entropy-None-depth2-leaf2,0.028
titanic,survived,0.7,1,5,4,purity,tree,4,0.6506,0.0649,0.7612,25,0.6,0.1024,0.1257,0.738,1.36,0.6575,-0.0301,0.0611,-0.024,0.0966,entropy-None-depth2-leaf2,0.028
titanic,survived,0.7,1,5,4,purity,tree,8,0.6756,0.0516,0.768,25,0.6,0.1316,0.1437,0.753,2.8,0.6827,-0.005,0.0479,0.0051,0.1151,gini-None-depth4-leaf4 | gini-None-depth4-leaf11,0.028
titanic,survived,0.7,1,5,4,purity,tree,16,0.6984,0.0373,0.763,25,0.6,0.1365,0.1457,0.79,6.36,0.7054,0.023,0.0321,0.0098,0.1153,entropy-None-depth4-leaf5 | entropy-None-depth4-leaf4 | entropy-None-depth4-leaf11 | entropy-None-depth4-leaf15,0.028
titanic,survived,0.7,1,5,4,purity,tree,32,0.6996,0.0362,0.7618,25,0.6,0.1349,0.1451,0.791,8.28,0.7076,0.0324,0.0367,-0.0164,0.1158,entropy-None-depth4-leaf5 | entropy-None-depth4-leaf4 | entropy-None-depth4-leaf11 | entropy-None-depth4-leaf15 | entropy-None-depth4-leaf21,0.028
titanic,survived,0.7,1,5,4,purity,ssdpp,1,0.0047,0.0078,0.4315,3,0.0,-0.009,0.0152,0.043,0.12,0.0093,-0.6765,0.0277,-0.1374,0.0549,,0.087
titanic,survived,0.7,1,5,4,purity,ssdpp,2,0.221,0.0354,0.9395,25,1.0,0.1841,0.0294,0.619,2.0,0.2035,-0.4603,0.0379,0.0557,0.0625,ssdpp#1,0.087
titanic,survived,0.7,1,5,4,purity,ssdpp,4,0.2864,0.0587,0.9227,25,1.0,0.2264,0.0544,0.527,3.72,0.2964,-0.3942,0.0643,0.0999,0.0776,ssdpp#1 | ssdpp#2,0.087
titanic,survived,0.7,1,5,4,purity,ssdpp,8,0.4643,0.0453,0.9391,25,1.0,0.3893,0.0423,0.834,7.24,0.4756,-0.2164,0.0526,0.2628,0.0717,ssdpp#1 | ssdpp#0 | ssdpp#2,0.087
titanic,survived,0.7,1,5,4,purity,ssdpp,16,0.503,0.0304,0.9427,25,1.0,0.4279,0.0355,0.93,8.56,0.5098,-0.1725,0.0419,0.3013,0.0659,ssdpp#1 | ssdpp#0 | ssdpp#2,0.087
titanic,survived,0.7,1,5,4,purity,ssdpp,32,0.503,0.0304,0.9427,25,1.0,0.4279,0.0355,0.93,8.56,0.5098,-0.1643,0.0386,0.2766,0.0639,ssdpp#1 | ssdpp#0 | ssdpp#2,0.087
titanic,survived,0.9,20,5,4,purity,vsf,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.01
titanic,survived,0.9,20,5,4,purity,vsf,2,0.2673,0.0248,0.9618,25,0.96,0.1514,0.111,0.978,2.0,0.2667,0.0,0.0,0.0,0.0,X_1+X_2#0,0.01
titanic,survived,0.9,20,5,4,purity,vsf,4,0.4708,0.0233,0.949,25,0.96,0.2343,0.0801,1.0,4.0,0.4708,0.0,0.0,0.0,0.0,X_1+X_2#0 | X_1+X_2#2,0.01
