dataset,positive,tau,m,selection,budget,cov_vsf,cov_partial,cov_rules_disjoint,cov_rules,cov_tree,cov_greedy,partial_vs_vsf,partial_vs_rules_disjoint,vsf_vs_rules_disjoint,partial_vs_tree,vsf_vs_greedy,net_partial,net_rules,net_rules_disjoint,net_vsf,net_tree,partial_vs_rules_net,gap_closed,purity_ok_vsf,purity_ok_partial,purity_ok_rules_disjoint,purity_ok_rules
nursery,spec_prior,0.9,1,certified,4,0.2114237721670807,0.2114237721670807,0.2114237721670807,0.2114237721670807,0.2114237721670807,0.2114237721670807,=,=,=,=,=,0.19139133999926572,0.19139133999926572,0.19139133999926572,0.19139133999926572,0.19139133999926572,=,,1.0,1.0,1.0,1.0
nursery,spec_prior,0.9,1,certified,8,0.2114237721670807,0.3407009019814219,0.3407009019814219,0.3698806129067789,0.22680481954252285,0.2114237721670807,+,=,-,+,=,0.3086508830116633,0.31646868765986613,0.3090958768311936,0.19139133999926572,0.22012770930986797,=,1.0,1.0,1.0,1.0,1.0
nursery,spec_prior,0.9,1,certified,16,0.34074955023314446,0.4933223390324199,0.4864454956002398,0.4869426868521216,0.22680481954252285,0.34074955023314446,+,=,-,+,=,0.4465825674038355,0.4219570671529452,0.44059571161071603,0.30914507581784134,0.22012770930986797,+,1.0471999643837253,1.0,1.0,1.0,1.0
nursery,spec_prior,0.9,1,certified,32,0.4228465652498501,0.4933223390324199,0.4864454956002398,0.5845699372162185,0.22680481954252285,0.4228465652498501,+,=,-,+,=,0.4465825674038355,0.49821910683033693,0.44059571161071603,0.38278390385392064,0.22012770930986797,-,1.108128287603157,1.0,1.0,1.0,1.0
nursery,priority,0.7,1,certified,2,0.1475390617492745,0.1475390617492745,0.1475390617492745,0.1475390617492745,0.0,0.1475390617492745,=,=,=,+,=,0.039786545717781674,0.040114414570240696,0.040114414570240696,0.039786545717781674,0.0,=,,1.0,1.0,1.0,1.0
nursery,priority,0.7,1,certified,4,0.27111267300147435,0.27111267300147435,0.27111267300147435,0.27111267300147435,0.6736993281736041,0.27111267300147435,=,=,=,-,=,0.0743197403113226,0.0743197403113226,0.0743197403113226,0.0743197403113226,0.35536609093313504,=,,1.0,1.0,1.0,1.0
nursery,priority,0.7,1,certified,8,0.35639558412106603,0.4170171676765569,0.4170171676765569,0.4170171676765569,0.6736993281736041,0.3566769440272794,=,=,=,-,=,0.13062865782063215,0.13062865782063215,0.13062865782063215,0.10501485778713693,0.35536609093313504,=,1.0,1.0,1.0,1.0,1.0
nursery,priority,0.7,1,certified,16,0.40492528093435204,0.5589274938157378,0.5664280085989386,0.5759905664262515,0.6736993281736041,0.40492528093435204,+,=,-,-,=,0.25985126654970797,0.2603950789471517,0.25411441273990043,0.2475047977794312,0.35536609093313504,=,0.9535579683906139,1.0,1.0,1.0,1.0
nursery,priority,0.7,1,certified,32,0.40492528093435204,0.6068913409347365,0.6664286675214356,0.6801186609596657,0.6736993281736041,0.40492528093435204,+,-,-,=,=,0.32312744750812905,0.3561012104955373,0.35094272590745995,0.2475047977794312,0.35536609093313504,=,0.7723267474133744,1.0,1.0,1.0,1.0
mushroom,poisonous,0.9,1,purity,1,0.5689449917898195,0.5689449917898195,0.5689449917898195,0.5689449917898195,0.0,0.5515806226705242,=,=,=,+,+,0.23799847525216977,0.23799847525216977,0.23799847525216977,0.23799847525216977,0.0,=,,1.0,1.0,1.0,1.0
mushroom,poisonous,0.9,1,purity,2,0.7784771092344985,0.8457593765475538,0.7590702947845805,0.8069444444444445,0.9601618904266689,0.6915195675971538,=,=,=,-,+,0.7354365405165897,0.11628059269684872,0.022454355305340404,0.18662424740010936,0.298233670862981,+,,0.6,1.0,0.6,0.6
mushroom,poisonous,0.9,1,purity,4,0.9111329397659448,0.9111329397659448,0.8549524982406757,0.9284986120885135,0.9785482967133212,0.9111329397659448,=,+,+,-,=,0.8008101037349805,0.597552095550864,0.524005981703026,0.9111329397659448,0.3166200771496337,+,,1.0,1.0,1.0,1.0
mushroom,poisonous,0.9,1,purity,8,0.9693550121197904,0.9939982602236297,0.9959139690358901,0.9996168582375479,0.9877414184064431,0.9693550121197904,+,=,-,+,=,0.9859522832121353,0.5916955000390961,0.6649674524982407,0.9693550121197904,0.767094280240832,+,0.9278695764177712,1.0,1.0,1.0,1.0
mushroom,poisonous,0.9,1,purity,16,0.9713979461516408,1.0,1.0,1.0,0.9969351917012015,0.9693550121197904,+,=,-,=,+,0.7793689889749003,0.5920786418015482,0.6690534834623504,0.9713979461516408,0.8567316965100217,+,1.0,1.0,1.0,1.0,1.0
mushroom,poisonous,0.9,1,purity,32,0.9859544009174552,1.0,1.0,1.0,0.9978291891469231,0.9877414184064431,+,=,-,=,=,0.7793689889749003,0.5920786418015482,0.6690534834623504,0.9859544009174552,0.8576256939557434,+,1.0,1.0,1.0,1.0,1.0
mushroom,poisonous,0.9,1,certified,1,0.5689449917898195,0.5689449917898195,0.5689449917898195,0.5689449917898195,0.0,0.5515806226705242,=,=,=,+,+,0.23799847525216977,0.23799847525216977,0.23799847525216977,0.23799847525216977,0.0,=,,1.0,1.0,1.0,1.0
mushroom,poisonous,0.9,1,certified,2,0.6915195675971538,0.8457593765475538,0.6343185550082102,0.7895789350222848,0.9601618904266689,0.6915195675971538,+,+,+,-,=,0.7354365405165897,0.4586324184846352,0.3033720384705606,0.6915195675971538,0.298233670862981,+,,1.0,1.0,1.0,1.0
mushroom,poisonous,0.9,1,certified,4,0.9111329397659448,0.9111329397659448,0.8549524982406757,0.9284986120885135,0.9601618904266689,0.9111329397659448,=,+,+,-,=,0.8008101037349805,0.597552095550864,0.524005981703026,0.9111329397659448,0.298233670862981,+,,1.0,1.0,1.0,1.0
mushroom,poisonous,0.9,1,certified,8,0.9601618904266689,0.9775275627492377,0.9775275627492377,0.9979570659681496,0.9601618904266689,0.9601618904266689,+,=,-,+,=,0.6465810462115881,0.44637074178330316,0.6465810462115881,0.9601618904266689,0.298233670862981,+,1.0,1.0,1.0,1.0,1.0
mushroom,poisonous,0.9,1,certified,16,0.9601618904266689,0.9775275627492377,0.9775275627492377,1.0,0.9601618904266689,0.9601618904266689,+,=,-,+,=,0.6465810462115881,0.3380908397841894,0.6465810462115881,0.9601618904266689,0.298233670862981,+,1.0,1.0,1.0,1.0,1.0
mushroom,poisonous,0.9,1,certified,32,0.9601618904266689,0.9775275627492377,0.9775275627492377,1.0,0.9601618904266689,0.9601618904266689,+,=,-,+,=,0.6465810462115881,0.3380908397841894,0.6465810462115881,0.9601618904266689,0.298233670862981,+,1.0,1.0,1.0,1.0,1.0
