dataset,positive,tau,divisor,m,budget,method,coverage,purity,purity_reaches_tau,conditions,splits,seconds
car_evaluation,acc,0.9,5,20,8,vsf_partial,0.0,,,0.0,10,0.1
car_evaluation,acc,0.9,5,20,32,vsf_partial,0.0,,,0.0,10,0.1
car_evaluation,acc,0.9,5,20,8,rules_disjoint,0.0,,,0.0,10,0.1
car_evaluation,acc,0.9,5,20,32,rules_disjoint,0.0,,,0.0,10,0.1
car_evaluation,acc,0.9,10,1,8,vsf,0.0602,0.9497,0.8,8.0,10,0.3
car_evaluation,acc,0.9,10,1,32,vsf,0.2046,0.949,0.9,31.6,10,0.3
car_evaluation,acc,0.9,10,1,8,vsf_partial,0.0602,0.9497,0.8,8.0,10,0.3
car_evaluation,acc,0.9,10,1,32,vsf_partial,0.2046,0.949,0.9,31.6,10,0.3
car_evaluation,acc,0.9,10,1,8,rules_disjoint,0.0143,1.0,0.8,8.0,10,0.3
car_evaluation,acc,0.9,10,1,32,rules_disjoint,0.1042,0.8958,0.5,32.0,10,0.3
car_evaluation,acc,0.9,10,5,8,vsf,0.0602,0.9497,0.8,8.0,10,0.2
car_evaluation,acc,0.9,10,5,32,vsf,0.2046,0.949,0.9,31.6,10,0.2
car_evaluation,acc,0.9,10,5,8,vsf_partial,0.0602,0.9497,0.8,8.0,10,0.2
car_evaluation,acc,0.9,10,5,32,vsf_partial,0.2046,0.949,0.9,31.6,10,0.2
car_evaluation,acc,0.9,10,5,8,rules_disjoint,0.0143,1.0,0.8,8.0,10,0.2
car_evaluation,acc,0.9,10,5,32,rules_disjoint,0.1042,0.8958,0.5,32.0,10,0.2
car_evaluation,acc,0.9,10,20,8,vsf,0.0221,0.9,0.3,2.4,10,0.2
car_evaluation,acc,0.9,10,20,32,vsf,0.0221,0.9,0.3,2.4,10,0.2
car_evaluation,acc,0.9,10,20,8,vsf_partial,0.0221,0.9,0.3,2.4,10,0.2
car_evaluation,acc,0.9,10,20,32,vsf_partial,0.0221,0.9,0.3,2.4,10,0.2
car_evaluation,acc,0.9,10,20,8,rules_disjoint,0.0,,,0.0,10,0.2
car_evaluation,acc,0.9,10,20,32,rules_disjoint,0.0,,,0.0,10,0.2
car_evaluation,acc,0.9,20,1,8,vsf,0.056,0.9923,1.0,8.0,10,0.2
car_evaluation,acc,0.9,20,1,32,vsf,0.0781,0.9775,0.9,12.0,10,0.2
car_evaluation,acc,0.9,20,1,8,vsf_partial,0.056,0.9923,1.0,8.0,10,0.2
car_evaluation,acc,0.9,20,1,32,vsf_partial,0.0781,0.9775,0.9,12.0,10,0.2
car_evaluation,acc,0.9,20,1,8,rules_disjoint,0.0143,1.0,0.8,8.0,10,0.2
car_evaluation,acc,0.9,20,1,32,rules_disjoint,0.1042,0.8958,0.5,32.0,10,0.2
car_evaluation,acc,0.9,20,5,8,vsf,0.056,0.9923,1.0,8.0,10,0.2
car_evaluation,acc,0.9,20,5,32,vsf,0.0781,0.9775,0.9,12.0,10,0.2
car_evaluation,acc,0.9,20,5,8,vsf_partial,0.056,0.9923,1.0,8.0,10,0.2
car_evaluation,acc,0.9,20,5,32,vsf_partial,0.0781,0.9775,0.9,12.0,10,0.2
car_evaluation,acc,0.9,20,5,8,rules_disjoint,0.0143,1.0,0.8,8.0,10,0.2
car_evaluation,acc,0.9,20,5,32,rules_disjoint,0.1042,0.8958,0.5,32.0,10,0.2
car_evaluation,acc,0.9,20,20,8,vsf,0.0157,1.0,0.3,2.0,10,0.2
car_evaluation,acc,0.9,20,20,32,vsf,0.0157,1.0,0.3,2.0,10,0.2
car_evaluation,acc,0.9,20,20,8,vsf_partial,0.0157,1.0,0.3,2.0,10,0.2
car_evaluation,acc,0.9,20,20,32,vsf_partial,0.0157,1.0,0.3,2.0,10,0.2
car_evaluation,acc,0.9,20,20,8,rules_disjoint,0.0,,,0.0,10,0.2
car_evaluation,acc,0.9,20,20,32,rules_disjoint,0.0,,,0.0,10,0.2
car_evaluation,acc,0.9,none,1,8,vsf,0.0182,1.0,0.9,8.0,10,0.2
car_evaluation,acc,0.9,none,1,32,vsf,0.1094,0.9006,0.6,32.0,10,0.2
car_evaluation,acc,0.9,none,1,8,vsf_partial,0.0182,1.0,0.9,8.0,10,0.2
car_evaluation,acc,0.9,none,1,32,vsf_partial,0.1094,0.9006,0.6,32.0,10,0.2
car_evaluation,acc,0.9,none,1,8,rules_disjoint,0.0143,1.0,0.8,8.0,10,0.2
car_evaluation,acc,0.9,none,1,32,rules_disjoint,0.1042,0.8958,0.5,32.0,10,0.2
car_evaluation,acc,0.9,none,5,8,vsf,0.0182,1.0,0.9,8.0,10,0.2
car_evaluation,acc,0.9,none,5,32,vsf,0.1094,0.9006,0.6,32.0,10,0.2
car_evaluation,acc,0.9,none,5,8,vsf_partial,0.0182,1.0,0.9,8.0,10,0.2
car_evaluation,acc,0.9,none,5,32,vsf_partial,0.1094,0.9006,0.6,32.0,10,0.2
car_evaluation,acc,0.9,none,5,8,rules_disjoint,0.0143,1.0,0.8,8.0,10,0.2
car_evaluation,acc,0.9,none,5,32,rules_disjoint,0.1042,0.8958,0.5,32.0,10,0.2
car_evaluation,acc,0.9,none,20,8,vsf,0.0,,,0.0,10,0.1
car_evaluation,acc,0.9,none,20,32,vsf,0.0,,,0.0,10,0.1
car_evaluation,acc,0.9,none,20,8,vsf_partial,0.0,,,0.0,10,0.1
car_evaluation,acc,0.9,none,20,32,vsf_partial,0.0,,,0.0,10,0.1
car_evaluation,acc,0.9,none,20,8,rules_disjoint,0.0,,,0.0,10,0.1
car_evaluation,acc,0.9,none,20,32,rules_disjoint,0.0,,,0.0,10,0.1
nursery,spec_prior,0.9,5,1,8,vsf,0.2114,0.9894,1.0,2.0,10,1.5
nursery,spec_prior,0.9,5,1,32,vsf,0.4228,0.9895,1.0,18.0,10,1.5
nursery,spec_prior,0.9,5,1,8,vsf_partial,0.3727,0.9711,1.0,8.0,10,1.5
nursery,spec_prior,0.9,5,1,32,vsf_partial,0.5707,0.98,1.0,29.6,10,1.5
nursery,spec_prior,0.9,5,1,8,rules_disjoint,0.3727,0.9711,1.0,8.0,10,1.5
nursery,spec_prior,0.9,5,1,32,rules_disjoint,0.5851,0.9688,1.0,31.0,10,1.5
nursery,spec_prior,0.9,5,5,8,vsf,0.2114,0.9894,1.0,2.0,10,1.6
nursery,spec_prior,0.9,5,5,32,vsf,0.4228,0.9895,1.0,18.0,10,1.6
nursery,spec_prior,0.9,5,5,8,vsf_partial,0.3727,0.9711,1.0,8.0,10,1.6
nursery,spec_prior,0.9,5,5,32,vsf_partial,0.5707,0.98,1.0,29.6,10,1.6
nursery,spec_prior,0.9,5,5,8,rules_disjoint,0.3727,0.9711,1.0,8.0,10,1.6
nursery,spec_prior,0.9,5,5,32,rules_disjoint,0.5851,0.9688,1.0,31.0,10,1.6
nursery,spec_prior,0.9,5,20,8,vsf,0.2114,0.9894,1.0,2.0,10,1.5
nursery,spec_prior,0.9,5,20,32,vsf,0.4228,0.9895,1.0,18.0,10,1.5
nursery,spec_prior,0.9,5,20,8,vsf_partial,0.3727,0.9711,1.0,8.0,10,1.5
nursery,spec_prior,0.9,5,20,32,vsf_partial,0.5707,0.98,1.0,29.6,10,1.5
nursery,spec_prior,0.9,5,20,8,rules_disjoint,0.3727,0.9711,1.0,8.0,10,1.5
nursery,spec_prior,0.9,5,20,32,rules_disjoint,0.5851,0.9688,1.0,31.0,10,1.5
nursery,spec_prior,0.9,10,1,8,vsf,0.2114,0.9894,1.0,2.0,10,1.5
nursery,spec_prior,0.9,10,1,32,vsf,0.4228,0.9895,1.0,18.0,10,1.5
