tau,m,selection,method,budget,coverage,coverage_se,purity,purity_reaches_tau,train_union_purity,net_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,stability,conditions
0.9,1,purity,vsf,8,0.4708,0.0233,0.949,0.96,,0.2343,0.0,0.0,0.0,0.0,1.0,4.0
0.9,1,purity,vsf,16,0.4831,0.024,0.9505,0.96,,0.2466,0.0,0.0,0.0,0.0,0.957,9.44
0.9,1,purity,vsf,32,0.4831,0.0235,0.9517,0.96,,0.2518,0.0,0.0,0.0,0.0,0.96,18.36
0.9,1,purity,rules,1,0.0,0.0,0.0,0.0,,-0.0106,0.0,0.0,0.0,0.0,0.47,1.0
0.9,1,purity,rules,2,0.2673,0.0248,0.9618,0.96,,0.1514,0.0,0.0,0.0,0.0,0.978,2.0
0.9,1,purity,rules,4,0.4702,0.023,0.9428,0.92,,0.1967,-0.0006,0.0016,-0.0376,0.1014,0.99,4.0
0.9,1,purity,rules,8,0.534,0.0261,0.9031,0.6,,-0.0031,0.0632,0.0124,-0.2374,0.1572,0.904,8.0
0.9,1,purity,rules,16,0.5539,0.0259,0.8666,0.12,,-0.2257,0.0708,0.0165,-0.4723,0.1666,0.844,15.68
0.9,1,purity,rules,32,0.5855,0.0251,0.8423,0.04,,-0.4153,0.1024,0.0177,-0.6672,0.1777,0.842,31.48
0.9,1,purity,tree,1,0.0,0.0,,,,0.0,0.0,0.0,0.0106,0.0285,,0.0
0.9,1,purity,tree,2,0.155,0.1247,0.9335,0.875,,0.0448,-0.1123,0.123,-0.1066,0.1614,0.164,0.64
0.9,1,purity,tree,4,0.5048,0.0271,0.9378,0.88,,0.1896,0.034,0.0115,-0.0448,0.0847,0.986,2.92
0.9,1,purity,tree,8,0.5106,0.0265,0.9379,0.88,,0.1901,0.0398,0.0126,-0.0443,0.0867,0.959,7.04
0.9,1,purity,tree,16,0.5118,0.0249,0.9363,0.8,,0.1859,0.0287,0.0115,-0.0607,0.0614,0.946,10.72
0.9,1,purity,tree,32,0.5141,0.0269,0.9374,0.8,,0.1936,0.031,0.0132,-0.0583,0.0631,0.938,11.96
0.7,1,purity,psg_topk,1,0.6813,0.0246,0.7437,0.88,0.7421,0.1284,0.0,0.0,0.0,0.0,1.0,1.0
0.7,1,purity,psg_topk,2,0.6888,0.0302,0.7338,0.84,0.7342,0.0994,0.0075,0.0144,-0.029,0.054,0.957,2.0
0.7,1,purity,psg_topk,4,0.6888,0.0302,0.7338,0.84,0.7342,0.0994,0.0081,0.0144,-0.0271,0.0546,0.957,4.0
0.7,1,purity,psg_topk,8,0.6888,0.0302,0.7338,0.84,0.7342,0.0994,0.0081,0.0144,-0.0271,0.0546,0.957,8.0
0.7,1,purity,psg_topk,16,0.7311,0.0364,0.6887,0.52,0.695,-0.0847,0.0557,0.0342,-0.2114,0.1432,0.846,16.0
0.7,1,purity,psg_topk,32,0.8684,0.0269,0.584,0.0,0.5838,-0.6077,0.2012,0.0321,-0.759,0.1627,0.906,32.0
0.7,1,purity,psg_filtered,1,0.6813,0.0246,0.7437,0.88,0.7421,0.1284,0.0,0.0,0.0,0.0,1.0,1.0
0.7,1,purity,psg_filtered,2,0.6813,0.0246,0.7437,0.88,0.7421,0.1284,0.0,0.0,0.0,0.0,1.0,2.0
0.7,1,purity,psg_filtered,4,0.6813,0.0246,0.7437,0.88,0.7421,0.1284,0.0006,0.0016,0.0019,0.0052,1.0,4.0
0.7,1,purity,psg_filtered,8,0.6813,0.0246,0.7437,0.88,0.7421,0.1284,0.0006,0.0016,0.0019,0.0052,1.0,8.0
0.7,1,purity,psg_filtered,16,0.6959,0.0269,0.7256,0.72,0.7285,0.0704,0.0204,0.0189,-0.0562,0.0653,0.944,16.0
0.7,1,purity,psg_filtered,32,0.7047,0.0299,0.711,0.6,0.7151,0.0204,0.0374,0.0304,-0.1309,0.0991,0.902,32.0
0.7,1,purity,vsf,1,0.6813,0.0246,0.7437,0.88,,0.1284,0.0,0.0,0.0,0.0,1.0,1.0
0.7,1,purity,vsf,2,0.6813,0.0246,0.7437,0.88,,0.1284,0.0,0.0,0.0,0.0,1.0,1.0
0.7,1,purity,vsf,4,0.6807,0.0245,0.7431,0.88,,0.1264,0.0,0.0,0.0,0.0,0.999,1.12
0.7,1,purity,vsf,8,0.6807,0.0245,0.7431,0.88,,0.1264,0.0,0.0,0.0,0.0,0.999,1.12
0.7,1,purity,vsf,16,0.6755,0.0239,0.7437,0.88,,0.1266,0.0,0.0,0.0,0.0,0.981,1.64
0.7,1,purity,vsf,32,0.6672,0.0258,0.7529,0.92,,0.1513,0.0,0.0,0.0,0.0,0.93,7.72
0.7,1,purity,rules,1,0.6813,0.0246,0.7437,0.88,,0.1284,0.0,0.0,0.0,0.0,1.0,1.0
